NOMBRE,PROMEDIO
Sofia Martínez,19.442857142857143
tatiana perez,3.9
luisa castro,3.825
Daniela Mora,3.577777777777778
Jorge Vivas,3.55
Pedro Sanchez,3.3333333333333335
Mia Torres,3.1999999999999997
camilo ordoñez,2.95
Felipe Rojas,2.814285714285714
juan diaz,2.8
andres torres,2.6999999999999997
Andres Marin,2.6624999999999996
Ana Gomez,2.5749999999999997
carlos ruiz,2.5500000000000003
pedro sanchez,2.533333333333333
Miguel Angel,2.523076923076923
Tatiana Perez,2.43
jose ramirez,2.4
luis perez,2.4
Luisa Castro,2.358333333333334
Claudia Arias,2.35
Luis Perez,2.28
claudia arias,2.2749999999999995
Carlos Ruiz,2.25
daniela mora,2.25
Andres Torres,2.2
Juan Diaz,2.1875
maria ruiz,2.1666666666666665
Jose Ramirez,1.9666666666666666
Maria Ruiz,1.8909090909090907
felipe rojas,1.8
Camilo Ordoñez,1.742857142857143
ana gomez,1.5666666666666667
miguel angel,1.5
laura lópez,1.1666666666666667
Laura López,0.4555555555555555
mia torres,0.44999999999999996
